label-dash	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
event-schedule	event_schedule	eventSchedule	pending:				Event	Schedule				"Associates an <a class=""localLink"" href=""/Event"">Event</a> with a <a class=""localLink"" href=""/Schedule"">Schedule</a>. There are circumstances where it is preferable to share a schedule for a series of
      repeating events rather than data on the individual events themselves. For example, a website or application might prefer to publish a schedule for a weekly
      gym class rather than provide data on every event. A schedule could be processed by applications to add forthcoming events to a calendar. An <a class=""localLink"" href=""/Event"">Event</a> that
      is associated with a <a class=""localLink"" href=""/Schedule"">Schedule</a> using this property should not have <a class=""localLink"" href=""/startDate"">startDate</a> or <a class=""localLink"" href=""/endDate"">endDate</a> properties. These are instead defined within the associated
      <a class=""localLink"" href=""/Schedule"">Schedule</a>, this avoids any ambiguity for clients using the data. The property might have repeated values to specify different schedules, e.g. for different months
      or seasons."
event-status	event_status	eventStatus					Event	EventStatusType				"An eventStatus of an event represents its status; particularly useful when an event is cancelled or rescheduled."
events	events	events					Organization, Place	Event			event	Upcoming or past events associated with this place or organization.
evidence-level	evidence_level	evidenceLevel					MedicalGuideline	MedicalEvidenceLevel				Strength of evidence of the data used to formulate the guideline (enumerated).
evidence-origin	evidence_origin	evidenceOrigin					MedicalGuideline	Text				Source of the data used to formulate the guidance, e.g. RCT, consensus opinion, etc.
example-of-work	example_of_work	exampleOfWork					CreativeWork	CreativeWork	workExample			A creative work that this work is an example/instance/realization/derivation of.
except-date	except_date	exceptDate	pending:				Schedule	Date, DateTime				"Defines a <a class=""localLink"" href=""/Date"">Date</a> or <a class=""localLink"" href=""/DateTime"">DateTime</a> during which a scheduled <a class=""localLink"" href=""/Event"">Event</a> will not take place. The property allows exceptions to
      a <a class=""localLink"" href=""/Schedule"">Schedule</a> to be specified. If an exception is specified as a <a class=""localLink"" href=""/DateTime"">DateTime</a> then only the event that would have started at that specific date and time
      should be excluded from the schedule. If an exception is specified as a <a class=""localLink"" href=""/Date"">Date</a> then any event that is scheduled for that 24 hour period should be
      excluded from the schedule. This allows a whole day to be excluded from the schedule without having to itemise every scheduled event."
exchange-rate-spread	exchange_rate_spread	exchangeRateSpread	pending:				ExchangeRateSpecification	MonetaryAmount, Number				The difference between the price at which a broker or other intermediary buys and sells foreign currency.
executable-library-name	executable_library_name	executableLibraryName					APIReference	Text		assembly		Library file name, e.g., mscorlib.dll, system.web.dll.
exercise-course	exercise_course	exerciseCourse		location			ExerciseAction	Place		course		A sub property of location. The course where this action was taken.
exercise-plan	exercise_plan	exercisePlan		instrument			ExerciseAction	ExercisePlan				A sub property of instrument. The exercise plan used on this action.
exercise-related-diet	exercise_related_diet	exerciseRelatedDiet		instrument			ExerciseAction	Diet				A sub property of instrument. The diet used in this action.
exercise-type	exercise_type	exerciseType					ExerciseAction, ExercisePlan	Text				Type(s) of exercise or activity, such as strength training, flexibility training, aerobics, cardiac rehabilitation, etc.
exif-data	exif_data	exifData					ImageObject	PropertyValue, Text				exif data for this object.
expected-arrival-from	expected_arrival_from	expectedArrivalFrom					ParcelDelivery	Date, DateTime				The earliest date the package may arrive.
expected-arrival-until	expected_arrival_until	expectedArrivalUntil					ParcelDelivery	Date, DateTime				The latest date the package may arrive.
expected-prognosis	expected_prognosis	expectedPrognosis					MedicalCondition	Text				The likely outcome in either the short term or long term of the medical condition.
expects-acceptance-of	expects_acceptance_of	expectsAcceptanceOf					ActionAccessSpecification, ConsumeAction, MediaSubscription	Offer				An Offer which must be accepted before the user can perform the Action. For example, the user may need to buy a movie before being able to watch it.
experience-in-place-of-education	experience_in_place_of_education	experienceInPlaceOfEducation	pending:				JobPosting	Boolean				"Indicates whether a <a class=""localLink"" href=""/JobPosting"">JobPosting</a> will accept experience (as indicated by <a class=""localLink"" href=""/OccupationalExperienceRequirements"">OccupationalExperienceRequirements</a>) in place of its formal educational qualifications (as indicated by <a class=""localLink"" href=""/educationRequirements"">educationRequirements</a>). If true, indicates that satisfying one of these requirements is sufficient."
experience-requirements	experience_requirements	experienceRequirements					JobPosting, Occupation	OccupationalExperienceRequirements, Text				Description of skills and experience needed for the position or Occupation.
expert-considerations	expert_considerations	expertConsiderations					Diet	Text				Medical expert advice related to the plan.
expires	expires	expires					CreativeWork	Date, DateTime				"Date the content expires and is no longer useful or available. For example a <a class=""localLink"" href=""/VideoObject"">VideoObject</a> or <a class=""localLink"" href=""/NewsArticle"">NewsArticle</a> whose availability or relevance is time-limited, or a <a class=""localLink"" href=""/ClaimReview"">ClaimReview</a> fact check whose publisher wants to indicate that it may no longer be relevant (or helpful to highlight) after some date."
expressed-in	expressed_in	expressedIn	pending:				Gene	AnatomicalStructure, AnatomicalSystem, BioChemEntity, DefinedTerm				Tissue, organ, biological sample, etc in which activity of this gene has been observed experimentally. For example brain, digestive system.
family-name	family_name	familyName					Person	Text				Family name. In the U.S., the last name of a Person.
fat-content	fat_content	fatContent					NutritionInformation	Mass				The number of grams of fat.
fax-number	fax_number	faxNumber					ContactPoint, Organization, Person, Place	Text				The fax number.
feature-list	feature_list	featureList					SoftwareApplication	Text, URL				Features or modules provided by this application (and possibly required by other applications).
fees-and-commissions-specification	fees_and_commissions_specification	feesAndCommissionsSpecification					FinancialProduct, FinancialService	Text, URL				Description of fees, commissions, and other terms applied either to a class of financial product, or by a financial service organization.
fiber-content	fiber_content	fiberContent					NutritionInformation	Mass				The number of grams of fiber.
file-format	file_format	fileFormat					CreativeWork	Text, URL			encodingFormat	"Media type, typically MIME format (see <a href=""http://www.iana.org/assignments/media-types/media-types.xhtml"">IANA site</a>) of the content, e.g. application/zip of a SoftwareApplication binary. In cases where a CreativeWork has several media type representations, 'encoding' can be used to indicate each MediaObject alongside particular fileFormat information. Unregistered or niche file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia entry."
file-size	file_size	fileSize					SoftwareApplication	Text				Size of the application / package (e.g. 18MB). In the absence of a unit (MB, KB etc.), KB will be assumed.
financial-aid-eligible	financial_aid_eligible	financialAidEligible	pending:				EducationalOccupationalProgram	DefinedTerm, Text				A financial aid type or program which students may use to pay for tuition or fees associated with the program.
first-appearance	first_appearance	firstAppearance	pending:	workExample			Claim	CreativeWork				"Indicates the first known occurrence of a <a class=""localLink"" href=""/Claim"">Claim</a> in some <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>."
first-performance	first_performance	firstPerformance					MusicComposition	Event				The date and place the work was first performed.
flight-distance	flight_distance	flightDistance					Flight	Distance, Text				The distance of the flight.
flight-number	flight_number	flightNumber		identifier			Flight	Text				The unique identifier for a flight including the airline IATA code. For example, if describing United flight 110, where the IATA code for United is 'UA', the flightNumber is 'UA110'.
floor-level	floor_level	floorLevel	pending:				Accommodation	Text				"The floor level for an <a class=""localLink"" href=""/Accommodation"">Accommodation</a> in a multi-storey building. Since counting
  systems <a href=""https://en.wikipedia.org/wiki/Storey#Consecutive_number_floor_designations"">vary internationally</a>, the local system should be used where possible."
